Date,Close,High,Low,Open,Volume
4/2/2018 19:00,4.58,4.58,4.58,4.58,18856
4/2/2018 19:02,4.64,4.64,4.599,4.599,4100
4/2/2018 19:03,4.5905,4.65,4.5905,4.64,6625
4/2/2018 19:04,4.54,4.575,4.53,4.575,7663
4/2/2018 19:05,4.4901,4.55,4.45,4.55,17934
4/2/2018 19:06,4.5,4.52,4.49,4.5,12023
4/2/2018 19:07,4.55,4.55,4.4999,4.5,12915
4/2/2018 19:08,4.55,4.59,4.55,4.55,5300
4/2/2018 19:09,4.54,4.57,4.53,4.55,773
4/2/2018 19:10,4.5694,4.5694,4.5401,4.5401,398
4/2/2018 19:11,4.55,4.56,4.55,4.56,200
4/2/2018 19:12,4.5598,4.56,4.5598,4.56,280
4/2/2018 19:13,4.575,4.575,4.56,4.56,2068
4/2/2018 19:14,4.58,4.58,4.58,4.58,400
4/2/2018 19:15,4.5938,4.6,4.58,4.6,1400
4/2/2018 19:16,4.58,4.58,4.57,4.58,2900
4/2/2018 19:17,4.55,4.58,4.55,4.58,3130
4/2/2018 19:18,4.56,4.5763,4.56,4.5763,600
4/2/2018 19:19,4.57,4.58,4.57,4.57,700
4/2/2018 19:21,4.49,4.56,4.49,4.56,8451
4/2/2018 19:22,4.49,4.5,4.48,4.49,1980
4/2/2018 19:23,4.47,4.49,4.47,4.489,5600
4/2/2018 19:24,4.49,4.5,4.48,4.5,3800
4/2/2018 19:25,4.49,4.49,4.469,4.485,5677
4/2/2018 19:26,4.49,4.49,4.48,4.48,900
4/2/2018 19:27,4.49,4.51,4.49,4.5,6301
4/2/2018 19:28,4.5,4.51,4.4999,4.4999,1400
4/2/2018 19:29,4.52,4.535,4.505,4.505,1036
4/2/2018 19:30,4.52,4.52,4.52,4.52,100
4/2/2018 19:31,4.5,4.54,4.5,4.54,4800
4/2/2018 19:32,4.5,4.5,4.49,4.5,3522
4/2/2018 19:33,4.49,4.49,4.49,4.49,100
4/2/2018 19:34,4.5,4.5,4.5,4.5,100
4/2/2018 19:35,4.52,4.539,4.5,4.5,5122
4/2/2018 19:36,4.52,4.53,4.52,4.5201,1500
4/2/2018 19:37,4.54,4.54,4.53,4.53,1200
4/2/2018 19:38,4.53,4.545,4.51,4.54,6872
4/2/2018 19:39,4.5001,4.51,4.5,4.51,708
4/2/2018 19:40,4.5282,4.5394,4.5,4.5,5700
4/2/2018 19:41,4.53,4.53,4.53,4.53,100
4/2/2018 19:42,4.52,4.53,4.52,4.53,3900
