Date,Open,High,Low,Close,Adj Close,Volume
10/3/2008,354.149994,362.25,350.25,355.825012,203.987885,591472
11/3/2008,357.75,359.5,350.75,357.162994,204.754929,775380
12/3/2008,361.25,374.75,342.5,346.013,198.362869,1383820
13-03-2008,337.5,342.75,327.625,333.375,191.117752,822028
14-03-2008,335,347,333.75,342.337006,196.255478,1065140
17-03-2008,333.75,338.575012,327.5,334,191.476059,496280
18-03-2008,333.5,340.25,325.263,328.274994,188.194031,2137176
19-03-2008,333.75,342.5,329.325012,335.475006,192.321625,1552528
24-03-2008,335.475006,346.75,335.075012,340.337006,195.108902,1352200
25-03-2008,351.25,387.174988,347.5,373.138,213.913116,2265964
26-03-2008,374.75,378.674988,363,373.899994,214.349945,883916
27-03-2008,367.5,370.25,357.5,360.200012,206.496048,629692
28-03-2008,362.5,387.5,355.412994,381.587006,218.75679,1236340
31-03-2008,376.649994,377.5,351.587006,357.537994,204.96994,1370784
1/4/2008,362.5,365.5,353.5,355.337006,203.708176,630820
2/4/2008,363.625,374.25,362.5,370.487,212.393326,667824
3/4/2008,369.25,382.5,365.513,380.412994,218.083771,790776
4/4/2008,382.450012,382.450012,367.5,370.725006,212.52977,518472
7/4/2008,371.5,382.225006,368.75,373.049988,213.862701,1114060
8/4/2008,373.75,373.75,363.138,365.325012,209.434097,498920
9/4/2008,366.25,371.625,363.299988,369.975006,212.099823,938080
10/4/2008,369.862,377.25,361.25,363.350006,208.301834,2971152
11/4/2008,366.25,367.5,353.25,355.612,203.865784,3658624
15-04-2008,355.612,381.25,355.612,377.700012,216.528488,4640804
16-04-2008,381.25,403.174988,381.25,399.987,229.305191,4199832
17-04-2008,406,421.5,405,416.612,238.835968,3034496
21-04-2008,416.612,425.725006,407.350006,411.263,235.769531,1338508
22-04-2008,406.75,411.25,395.024994,399.725006,229.154984,1585992
23-04-2008,400.75,413.875,399.375,411.475006,235.890991,1211132
24-04-2008,416.25,427.5,408.799988,423.263,242.648819,1658064
25-04-2008,426.25,429.062012,413,421.612,241.702377,2059368
28-04-2008,425,425,412.875,416.237,238.621017,1188796
29-04-2008,419.75,439.649994,410.263,437.687988,250.918457,3979232
30-04-2008,437.75,452.25,432.774994,438.437988,251.348404,2848820
2/5/2008,438.437988,452.25,438.437988,447.375,256.471802,1153264
5/5/2008,454.75,454.75,441.25,446.837006,256.163391,1028424
6/5/2008,444.75,463.75,433.837006,455.075012,260.886169,1815804
7/5/2008,468.75,468.75,455.049988,460.799988,264.168152,2728436
8/5/2008,453.5,453.5,439.25,444.950012,255.08165,1611516
9/5/2008,433.837006,449,433.837006,437.625,250.882309,949816
12/5/2008,437.5,449.674988,424.5,443.125,254.0354,1934544
13-05-2008,447.5,453.25,429.75,436.799988,250.409332,1889772
14-05-2008,435,458.837006,430.875,456.575012,261.746033,1905796
15-05-2008,461.25,477,458.75,472.825012,271.061859,2223596
16-05-2008,476.25,479.600006,465,467.787994,268.174194,1668576
20-05-2008,467.787994,478.25,461.25,471.799988,270.474243,1460312
21-05-2008,470,471.25,463.75,467.812012,268.187958,709272
22-05-2008,465,474.638,461.774994,465.174988,266.67627,943060
23-05-2008,465.5,470.700012,454.5,456.600006,261.760406,670712
26-05-2008,453.75,473.475006,448.075012,471.600006,270.359589,1878608
27-05-2008,474.149994,474.75,467.25,469.638,269.234741,758696
28-05-2008,471.25,480.187988,467.513,478.162994,274.12207,1546268
29-05-2008,487.5,487.5,469.5,472.187988,287.055634,1296140
30-05-2008,468.75,492.975006,466.924988,489.388,297.512024,2556252
2/6/2008,489,504.25,484.774994,487.725006,296.500946,1131320
3/6/2008,482.5,487.5,470.5,480.638,292.192657,1206308
4/6/2008,478.75,478.75,463.5,467.524994,284.220856,1405672
5/6/2008,467.524994,497.475006,467.524994,494.924988,300.878021,1923176
6/6/2008,497.725006,502.5,494.024994,498.212006,302.876343,1397284
9/6/2008,484.763,491.25,472.475006,476.013,289.381012,1307104
10/6/2008,475,478,448.837006,462.274994,281.029297,1648044
11/6/2008,463.25,475.75,463.25,473.625,287.92926,736720
12/6/2008,468.5,471.5,457.5,469.388,285.353455,732796
13-06-2008,474.75,477.924988,463.513,465.912994,283.240936,1160408
16-06-2008,474.75,484.375,472.5,476.812012,289.866699,898664
17-06-2008,477.5,481.25,472.013,478.325012,290.78653,1079656
18-06-2008,475.5,480.25,464.024994,466.424988,283.552246,879576
19-06-2008,458.75,470.325012,458.75,465,282.685913,628616
20-06-2008,467.5,471.5,454.25,456.899994,277.761688,1420800
23-06-2008,453.75,466.25,450.25,461.875,280.786194,1061684
24-06-2008,463.75,464.975006,441.274994,448.25,272.503082,1128348
25-06-2008,438.825012,446.25,424,437.149994,265.755096,1807324
26-06-2008,442.5,449.5,435.5,445.462006,270.808197,1212936
27-06-2008,437.5,442.5,424.013,426.899994,259.523895,648664
30-06-2008,425,436.25,423.75,433.687988,263.650452,755008
1/7/2008,434.975006,441.424988,424.5,427.587006,259.941528,1261352
2/7/2008,427.5,460,427.25,455.149994,276.697815,1239896
3/7/2008,455,455,433.75,436.950012,265.633514,700348
4/7/2008,437.638,447.5,433.799988,438.850006,266.788666,1055204
7/7/2008,444.5,454.424988,443.75,450.299988,273.74942,595920
8/7/2008,443.75,445,427.774994,434,263.84021,1299752
9/7/2008,437.75,458,437.75,455.274994,276.773804,1584592
10/7/2008,452.5,462.75,445.024994,451.549988,274.509277,1328280
11/7/2008,462.5,469,410.25,419.112,254.789307,8281416
14-07-2008,410,410,386,389.024994,236.498642,3674140
15-07-2008,382.5,394.662994,376.5,386.024994,234.674866,4331240
16-07-2008,387.5,394.25,381.837006,386.912994,235.214752,1507292
17-07-2008,392.537994,402.25,391.274994,395.712006,240.563889,1305908
18-07-2008,398.712006,398.75,375.75,387.024994,235.282806,2425976
21-07-2008,388.75,395.75,381.375,390.450012,237.36499,1009952
22-07-2008,392.5,399.75,386.537994,394.737,239.971176,1303772
23-07-2008,399.75,403.950012,389.25,400.924988,243.733002,1558316
24-07-2008,401.25,402.5,371,391.399994,237.942505,3223704
25-07-2008,387.5,395.75,381,387.575012,235.617203,1033520
28-07-2008,388.5,392.5,381.25,384.725006,233.884644,909996
29-07-2008,383.75,386.5,378,384.975006,234.036545,1316516
30-07-2008,390,402.375,388.875,400.649994,243.565857,939924
31-07-2008,401.649994,407.25,393.774994,395.825012,240.632507,1235372
1/8/2008,387.75,412.299988,387.75,410.024994,249.265106,1162816
4/8/2008,405,420.625,405,413.950012,251.65123,802264
5/8/2008,412.5,422.5,405,419.350006,254.934021,791980
6/8/2008,425,431.25,419.5,424.725006,258.20166,1987228
7/8/2008,424.75,433.5,422.5,430.350006,261.621216,702816
8/8/2008,425.25,429.674988,417.587006,419.962006,255.306091,877520
11/8/2008,425.25,429.75,414.187988,417.524994,253.824539,1181932
12/8/2008,418.75,421.350006,396.25,400.924988,243.733002,4610644
13-08-2008,397.5,408.625,395.75,406.299988,247.000565,2111796
14-08-2008,412.5,425.75,406.25,422.362,256.765076,1714664
18-08-2008,422.362,434.475006,422.362,425.600006,258.733612,671220
19-08-2008,424.5,428.5,420,423.388,257.388824,433404
20-08-2008,424.75,427.5,420.024994,424.674988,258.171204,324448
21-08-2008,422.5,424.25,413.787994,416.112,252.965546,415240
22-08-2008,413.825012,425.674988,411.600006,423.763,257.616791,858144
25-08-2008,431.049988,434.75,425,425.763,258.832672,319920
26-08-2008,427.5,434.950012,422,424.399994,258.004089,2726324
27-08-2008,427.25,430,424.125,427,259.584686,1116492
28-08-2008,428.75,436.149994,424.125,424.975006,258.353638,1000320
29-08-2008,428.75,437.5,427.75,437.125,265.739929,769496
1/9/2008,440,442.225006,425.274994,430.825012,261.910004,1512520
2/9/2008,436.25,445,430.587006,443.825012,269.812958,723668
4/9/2008,443.825012,451.174988,438,447.388,271.979095,1439456
5/9/2008,437.5,437.5,426.638,428.312012,260.382324,1353508
8/9/2008,440,445,435.049988,437.112,265.732025,900648
9/9/2008,435,439.024994,425,436.799988,265.542358,603304
10/9/2008,435,443,431.524994,439.787994,267.358856,793352
11/9/2008,440,442.5,433,437.25,265.815918,933332
12/9/2008,431.25,435,410,411.024994,249.873032,1860152
15-09-2008,403.75,410,381.75,393.600006,239.279922,1287516
16-09-2008,375,396.100006,375,391.062012,237.737,1160928
17-09-2008,396.25,411.975006,392.5,394,239.523102,1603112
18-09-2008,385,390.138,364.25,380.875,231.544052,2326664
19-09-2008,391.25,411.75,389.325012,405.962006,246.79512,2531420
22-09-2008,413.75,418.149994,401.662994,406.962006,247.403076,716144
23-09-2008,399.25,405.674988,383.875,385.837006,234.560593,873396
24-09-2008,382.75,392.25,373,380.924988,231.574448,2013572
25-09-2008,377.5,381.225006,372.75,376.237,228.724518,1059924
26-09-2008,376.5,377.424988,359.274994,361.924988,220.02388,1386032
29-09-2008,365,365,340.625,347.987,211.550552,1409332
30-09-2008,343.75,362.75,325,349.388,212.402298,1473596
1/10/2008,356.25,367.25,353.75,363.475006,220.966156,688996
3/10/2008,363.475006,363.475006,345.25,347.737,211.398605,3513888
6/10/2008,348.75,348.75,318.787994,329.450012,200.281433,1051320
7/10/2008,330.25,343,316.25,326.024994,198.199265,1128320
8/10/2008,322,322.25,299,313.587006,190.637894,1387272
10/10/2008,313.587006,320.25,287.5,306.674988,186.435867,3660824
13-10-2008,310,339.237,305.649994,328.75,199.855911,1588440
14-10-2008,340,352.987,340,349.263,212.326294,1289780
15-10-2008,342.5,342.5,327.375,332.812012,202.325317,1648264
16-10-2008,275.25,323.5,275.25,316.674988,198.478867,875864
17-10-2008,323.25,327.475006,298.837006,300.638,188.427582,1036464
20-10-2008,306.25,330.225006,306.25,324.450012,203.351898,1193072
21-10-2008,331.25,349.25,326.25,337.087006,211.272293,1678972
22-10-2008,332.5,332.5,321.263,325.087006,203.75116,826688
23-10-2008,312.5,338.799988,310.037994,320.687988,200.993988,1392836
24-10-2008,325.25,325.25,306.5,312.187988,195.666565,777100
27-10-2008,312.5,321.850006,290.25,312.962006,196.151703,1398088
29-10-2008,321.25,336.75,315,325.687988,204.127853,1426424
31-10-2008,325.687988,359.25,325.687988,345.412994,216.490692,1252852
3/11/2008,353.25,364.25,337.5,344.625,215.996796,1219728
4/11/2008,345.25,345.25,321.287994,333.187988,208.828522,2029436
5/11/2008,326.337006,347.5,325.337006,330.162994,206.932587,1919352
6/11/2008,323.138,329.5,308.25,311.987,195.540619,1355144
7/11/2008,307.5,321.75,301.312012,315.625,197.820724,1130320
10/11/2008,318.75,338.75,309.25,334.575012,209.697861,1233272
11/11/2008,329,330.5,312.037994,313.899994,196.739609,856800
12/11/2008,312.388,326.25,308.812012,314.812012,197.311203,1123088
14-11-2008,314.812012,322.5,298.174988,304.475006,190.832397,1665084
17-11-2008,302.462006,311.174988,293,308.200012,193.167114,1194756
18-11-2008,308.200012,308.200012,292.375,295.237,185.042404,3140512
19-11-2008,293.763,300,281.25,293,183.640335,2671232
20-11-2008,283.75,287.537994,276,281.812012,176.628174,897616
